external_bet_id,external_player_id,stake_amount,odds,potential_payout,settled_payout,bet_type,product_type,sport,market_type,event_id,selection,channel,placed_at,settled_at,status,game_id,game_name,game_provider,game_category,rtp_teorico
BET-001042,PLY-NORM-070,171.54,4.03,691.30,0.00,SPORTSBOOK,SPORTSBOOK,SOCCER,HANDICAP,SAN_VS_VAS_20260317,Under 2.5,TERMINAL,2026-01-03T12:55:00Z,2026-01-04T20:55:00Z,LOST,,,,,
BET-000517,PLY-NORM-037,237.08,6.72,1593.20,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,HANDICAP,UFC_300_20260329,Under 2.5,APP,2026-01-03T13:33:31Z,2026-01-04T22:33:31Z,LOST,,,,,
BET-000422,PLY-NORM-031,108.62,2.41,261.78,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,HANDICAP,PAL_VS_SAO_20260321,Away Win,WEB,2026-01-03T13:49:16Z,2026-01-04T12:49:16Z,LOST,,,,,
BET-000165,PLY-NORM-011,156.27,4.08,637.56,0.00,SPORTSBOOK,SPORTSBOOK,MMA,BOTH_TEAMS_SCORE,GRE_VS_INT_20260322,Draw,TERMINAL,2026-01-03T14:36:52Z,2026-01-04T20:36:52Z,LOST,,,,,
BET-001849,PLY-BONU-112,107.70,,142.16,142.16,SLOT,SLOT,,,,,WEB,2026-01-03T16:27:11Z,2026-01-05T12:27:11Z,WON,GAME-SLOT-04,Fortune Tiger,PG Soft,SLOT,0.9668
BET-000174,PLY-NORM-011,126.01,2.88,362.91,38.88,SPORTSBOOK,SPORTSBOOK,MMA,OVER_UNDER,PAL_VS_SAO_20260321,Home Win,APP,2026-01-03T18:11:26Z,2026-01-06T18:11:26Z,CASHOUT,,,,,
BET-000407,PLY-NORM-030,263.92,6.91,1823.70,0.00,SPORTSBOOK,SPORTSBOOK,SOCCER,HANDICAP,CRU_VS_AME_20260316,Under 2.5,TERMINAL,2026-01-03T18:57:52Z,2026-01-05T15:57:52Z,LOST,,,,,
BET-001666,PLY-NETW-101,153.73,5.11,785.54,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,BOTH_TEAMS_SCORE,FLA_VS_COR_20260320,Draw,TERMINAL,2026-01-03T19:26:59Z,2026-01-04T02:26:59Z,LOST,,,,,
BET-001152,PLY-NORM-077,204.77,4.58,937.84,0.00,SPORTSBOOK,SPORTSBOOK,MMA,1X2,PAL_VS_SAO_20260321,Under 2.5,APP,2026-01-03T21:14:09Z,2026-01-04T10:14:09Z,LOST,,,,,
BET-001802,PLY-BONU-111,183.12,,247.21,247.21,SLOT,SLOT,,,,,WEB,2026-01-03T21:18:19Z,2026-01-04T09:18:19Z,WON,GAME-SLOT-03,Big Bass Bonanza,Pragmatic Play,SLOT,0.9670
BET-001903,PLY-BONU-114,96.76,,144.18,144.18,SLOT,SLOT,,,,,TERMINAL,2026-01-03T21:32:35Z,2026-01-04T22:32:35Z,WON,GAME-SLOT-01,Gates of Olympus,Pragmatic Play,SLOT,0.9649
BET-000812,PLY-NORM-057,94.10,7.93,746.20,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,OVER_UNDER,CRU_VS_AME_20260316,Under 2.5,WEB,2026-01-03T23:25:07Z,2026-01-05T10:25:07Z,LOST,,,,,
BET-001293,PLY-INCO-084,1155.56,1.51,1744.89,778.84,SPORTSBOOK,SPORTSBOOK,TENNIS,OVER_UNDER,BRA_VS_ARG_20260401,Over 2.5,WEB,2026-01-03T23:37:35Z,2026-01-06T21:37:35Z,CASHOUT,,,,,
BET-000388,PLY-NORM-028,169.97,7.96,1352.94,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,1X2,BRA_VS_ARG_20260401,Over 2.5,APP,2026-01-04T00:06:04Z,2026-01-05T02:06:04Z,LOST,,,,,
BET-000487,PLY-NORM-036,131.11,6.41,840.39,42.96,SPORTSBOOK,SPORTSBOOK,TENNIS,OVER_UNDER,CRU_VS_AME_20260316,Draw,WEB,2026-01-04T00:15:09Z,2026-01-06T05:15:09Z,CASHOUT,,,,,
BET-000128,PLY-NORM-008,234.81,1.69,396.83,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,1X2,FLA_VS_COR_20260320,Draw,TERMINAL,2026-01-04T00:43:29Z,2026-01-05T15:43:29Z,LOST,,,,,
BET-000598,PLY-NORM-043,384.13,5.88,2258.69,2258.69,SPORTSBOOK,SPORTSBOOK,MMA,CORRECT_SCORE,PAL_VS_SAO_20260321,Away Win,TERMINAL,2026-01-04T00:44:50Z,2026-01-04T08:44:50Z,WON,,,,,
BET-000055,PLY-NORM-004,167.60,4.26,713.99,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,1X2,UFC_300_20260329,Away Win,WEB,2026-01-04T01:03:07Z,2026-01-04T10:03:07Z,LOST,,,,,
BET-001900,PLY-BONU-114,166.66,,233.33,233.33,SLOT,SLOT,,,,,WEB,2026-01-04T01:57:13Z,2026-01-04T22:57:13Z,WON,GAME-SLOT-04,Fortune Tiger,PG Soft,SLOT,0.9668
BET-000954,PLY-NORM-065,293.87,6.38,1874.89,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,CORRECT_SCORE,BRA_VS_ARG_20260401,Draw,APP,2026-01-04T02:31:45Z,2026-01-05T09:31:45Z,LOST,,,,,
BET-001434,PLY-INCO-088,2428.32,2.67,6483.62,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,HANDICAP,CRU_VS_AME_20260316,Away Win,APP,2026-01-04T02:46:55Z,2026-01-05T05:46:55Z,LOST,,,,,
BET-001687,PLY-NETW-103,993.49,2.74,2722.18,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,CORRECT_SCORE,BAH_VS_FOR_20260319,Under 2.5,WEB,2026-01-04T02:47:34Z,2026-01-06T12:47:34Z,LOST,,,,,
BET-001384,PLY-INCO-087,2600.99,3.12,8115.08,0.00,SPORTSBOOK,SPORTSBOOK,SOCCER,1X2,WIMBLEDON_R1_20260315,BTTS Yes,APP,2026-01-04T03:49:02Z,2026-01-04T12:49:02Z,LOST,,,,,
BET-001817,PLY-BONU-112,107.46,,138.62,138.62,CASINO_LIVE,CASINO_LIVE,,,,,WEB,2026-01-04T04:38:54Z,2026-01-06T21:38:54Z,WON,GAME-ROULETTE-01,Lightning Roulette,Evolution,LIVE,0.9730
BET-000358,PLY-NORM-026,17.66,5.55,98.02,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,OVER_UNDER,ATM_VS_CAP_20260318,Over 2.5,WEB,2026-01-04T05:12:59Z,2026-01-06T06:12:59Z,LOST,,,,,
BET-001814,PLY-BONU-112,24.66,1.22,30.09,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,HANDICAP,PAL_VS_SAO_20260321,Away Win,WEB,2026-01-04T05:16:08Z,2026-01-04T16:16:08Z,LOST,,,,,
BET-001485,PLY-INCO-090,2688.23,2.40,6451.75,0.00,SPORTSBOOK,SPORTSBOOK,MMA,BOTH_TEAMS_SCORE,FLA_VS_COR_20260320,BTTS Yes,APP,2026-01-04T07:04:57Z,2026-01-06T01:04:57Z,LOST,,,,,
BET-000312,PLY-NORM-024,126.70,1.92,243.27,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,1X2,FLA_VS_COR_20260320,BTTS Yes,WEB,2026-01-04T09:42:26Z,2026-01-07T06:42:26Z,LOST,,,,,
BET-000915,PLY-NORM-063,276.90,1.83,506.72,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,1X2,PAL_VS_SAO_20260321,Under 2.5,WEB,2026-01-04T10:59:07Z,2026-01-05T08:59:07Z,LOST,,,,,
BET-000236,PLY-NORM-018,24.06,3.43,82.54,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,HANDICAP,BOT_VS_FLU_20260323,Under 2.5,WEB,2026-01-04T11:32:46Z,2026-01-06T23:32:46Z,LOST,,,,,
BET-000650,PLY-NORM-046,122.09,6.78,827.79,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,1X2,FLA_VS_COR_20260320,BTTS Yes,TERMINAL,2026-01-04T11:34:27Z,2026-01-05T06:34:27Z,LOST,,,,,
BET-001879,PLY-BONU-113,92.04,1.38,127.01,127.01,SPORTSBOOK,SPORTSBOOK,ESPORTS,OVER_UNDER,BRA_VS_ARG_20260401,Over 2.5,WEB,2026-01-04T13:22:53Z,2026-01-05T18:22:53Z,WON,,,,,
BET-000469,PLY-NORM-035,252.04,2.29,577.17,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,CORRECT_SCORE,BAH_VS_FOR_20260319,Over 2.5,TERMINAL,2026-01-04T14:03:50Z,2026-01-07T08:03:50Z,LOST,,,,,
BET-000473,PLY-NORM-035,246.30,5.58,1374.38,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,OVER_UNDER,SAN_VS_VAS_20260317,BTTS Yes,WEB,2026-01-04T14:21:13Z,2026-01-07T10:21:13Z,LOST,,,,,
BET-001618,PLY-STRU-098,136.04,3.57,485.66,0.00,SPORTSBOOK,SPORTSBOOK,SOCCER,CORRECT_SCORE,ATM_VS_CAP_20260318,Home Win,WEB,2026-01-04T15:13:08Z,2026-01-06T07:13:08Z,LOST,,,,,
BET-001073,PLY-NORM-072,247.90,3.67,909.80,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,BOTH_TEAMS_SCORE,BOT_VS_FLU_20260323,Home Win,APP,2026-01-04T15:14:58Z,2026-01-05T00:14:58Z,LOST,,,,,
BET-001854,PLY-BONU-112,71.83,,83.32,83.32,SLOT,SLOT,,,,,WEB,2026-01-04T15:45:10Z,2026-01-06T05:45:10Z,WON,GAME-SLOT-03,Big Bass Bonanza,Pragmatic Play,SLOT,0.9670
BET-000249,PLY-NORM-018,121.75,1.70,206.98,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,BOTH_TEAMS_SCORE,PAL_VS_SAO_20260321,Draw,WEB,2026-01-04T16:21:24Z,2026-01-06T18:21:24Z,LOST,,,,,
BET-001531,PLY-STRU-092,111.25,1.53,170.21,0.00,SPORTSBOOK,SPORTSBOOK,MMA,OVER_UNDER,WIMBLEDON_R1_20260315,Over 2.5,WEB,2026-01-04T17:02:26Z,2026-01-06T23:02:26Z,LOST,,,,,
BET-000135,PLY-NORM-009,62.34,3.61,225.05,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,HANDICAP,BAH_VS_FOR_20260319,Under 2.5,TERMINAL,2026-01-04T17:28:54Z,2026-01-05T00:28:54Z,LOST,,,,,
BET-000405,PLY-NORM-030,255.53,3.75,958.22,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,1X2,PAL_VS_SAO_20260321,Away Win,TERMINAL,2026-01-04T18:36:35Z,2026-01-07T00:36:35Z,LOST,,,,,
BET-000528,PLY-NORM-038,295.60,2.79,824.74,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,CORRECT_SCORE,GRE_VS_INT_20260322,Under 2.5,TERMINAL,2026-01-05T00:06:48Z,2026-01-06T22:06:48Z,LOST,,,,,
BET-000653,PLY-NORM-046,165.42,3.46,572.34,572.34,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,BOTH_TEAMS_SCORE,SAN_VS_VAS_20260317,Away Win,APP,2026-01-05T00:37:31Z,2026-01-06T18:37:31Z,WON,,,,,
BET-000800,PLY-NORM-057,41.03,5.13,210.50,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,HANDICAP,BAH_VS_FOR_20260319,BTTS Yes,WEB,2026-01-05T00:58:55Z,2026-01-07T00:58:55Z,LOST,,,,,
BET-000436,PLY-NORM-033,97.58,3.69,360.06,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,1X2,SAN_VS_VAS_20260317,BTTS Yes,WEB,2026-01-05T01:50:27Z,2026-01-05T06:50:27Z,LOST,,,,,
BET-001765,PLY-NETW-109,1503.22,4.05,6088.03,752.96,SPORTSBOOK,SPORTSBOOK,BASKETBALL,CORRECT_SCORE,GRE_VS_INT_20260322,Away Win,WEB,2026-01-05T05:14:29Z,2026-01-06T13:14:29Z,CASHOUT,,,,,
BET-000599,PLY-NORM-043,24.61,4.96,122.05,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,BOTH_TEAMS_SCORE,ATM_VS_CAP_20260318,BTTS Yes,TERMINAL,2026-01-05T06:45:13Z,2026-01-07T19:45:13Z,LOST,,,,,
