external_event_id,external_player_id,device_id,ip_address,event_type,device_type,country_code,user_agent,session_id,occurred_at
DEV-000773,PLY-STRU-096,dev-ply-stru-096,192.168.108.120,BET,TABLET,BR,Mozilla/5.0 (Mac),sess-ada4464c-f95,2026-01-03T14:32:14Z
DEV-000504,PLY-NORM-063,dev-ply-norm-063,192.168.81.179,DEPOSIT,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-f5a0689e-9ed,2026-01-03T14:56:43Z
DEV-000176,PLY-NORM-021,dev-ply-norm-021,192.168.182.126,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-fa73e57c-fe0,2026-01-03T16:03:46Z
DEV-000740,PLY-STRU-093,dev-ply-stru-093,192.168.224.39,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-1b4c0595-a6f,2026-01-03T17:16:48Z
DEV-000145,PLY-NORM-018,dev-ply-norm-018,192.168.221.95,BET,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-7a13d3c2-d4d,2026-01-03T17:27:35Z
DEV-000025,PLY-NORM-003,dev-ply-norm-003,192.168.90.57,LOGIN,DESKTOP,BR,Mozilla/5.0 (Windows),sess-de32b9d4-a5d,2026-01-03T17:45:05Z
DEV-000618,PLY-NORM-078,dev-ply-norm-078,192.168.129.183,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-32efe679-c9e,2026-01-03T17:45:57Z
DEV-000629,PLY-NORM-079,dev-ply-norm-079,192.168.86.36,WITHDRAWAL,DESKTOP,BR,Mozilla/5.0 (Android),sess-4876e65a-15a,2026-01-03T18:05:32Z
DEV-000527,PLY-NORM-066,dev-ply-norm-066,192.168.233.142,LOGIN,TABLET,BR,Mozilla/5.0 (Android),sess-4af4f3a8-467,2026-01-03T20:29:09Z
DEV-000638,PLY-NORM-080,dev-ply-norm-080,192.168.151.91,BET,DESKTOP,BR,Mozilla/5.0 (Windows),sess-fe43c5c8-141,2026-01-03T21:15:13Z
DEV-000515,PLY-NORM-065,dev-ply-norm-065,192.168.158.231,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (Android),sess-441fcfc5-0a3,2026-01-03T21:18:11Z
DEV-000322,PLY-NORM-039,dev-ply-norm-039,192.168.184.63,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Android),sess-7d3591e1-65f,2026-01-03T21:41:47Z
DEV-001007,PLY-NETW-109,SHARED-NET-GAMMA-001,177.92.55.42,BET,MOBILE_IOS,BR,Mozilla/5.0 (Android),sess-d5d9ed8b-c4c,2026-01-03T22:13:14Z
DEV-000725,PLY-STRU-091,dev-ply-stru-091,192.168.122.73,BET,DESKTOP,BR,Mozilla/5.0 (Android),sess-c479ac6b-683,2026-01-04T02:17:33Z
DEV-000811,PLY-BONU-115,dev-ply-bonu-115,192.168.92.186,DEPOSIT,MOBILE_ANDROID,BR,Mozilla/5.0 (Android),sess-0eebb8cb-033,2026-01-04T05:57:30Z
DEV-000970,PLY-NETW-106,dev-ply-netw-106,192.168.16.160,DEPOSIT,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-81860771-5c3,2026-01-04T07:09:07Z
DEV-000088,PLY-NORM-011,dev-ply-norm-011,192.168.154.86,LOGIN,DESKTOP,BR,Mozilla/5.0 (Mac),sess-3fae154f-006,2026-01-04T07:42:08Z
DEV-000635,PLY-NORM-080,dev-ply-norm-080,192.168.151.91,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-3cabaa71-a1d,2026-01-04T07:58:45Z
DEV-000501,PLY-NORM-063,dev-ply-norm-063,192.168.81.179,WITHDRAWAL,MOBILE_IOS,BR,Mozilla/5.0 (Android),sess-2af101d7-2d3,2026-01-04T08:58:05Z
DEV-000051,PLY-NORM-006,dev-ply-norm-006,192.168.6.198,BET,MOBILE_IOS,BR,Mozilla/5.0 (iPhone),sess-aa9e5037-bb2,2026-01-04T10:10:03Z
